name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats,make,model,model_trim,engine_cc,power_bhp,mileage_value,mileage_unit,torque_nm,torque_rpm,owner_simple,car_age,bhp_per_litre,nm_per_litre,log_selling_price,log_km_driven,log_engine_cc,log_power_bhp,log_torque_nm,flag_outlier_selling_price,flag_outlier_km_driven,flag_outlier_engine_cc,flag_outlier_power_bhp,flag_outlier_torque_nm,car_cluster
Maruti Swift Dzire VDI,2014,450000,145500,Diesel,Individual,Manual,First Owner,23.4 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0,Maruti,Swift Dzire,Swift Dzire VDI,1248.0,74.0,23.4,kmpl,190.0,2000.0,First,11,59.294871794871796,152.24358974358975,13.017005083966255,11.8879382384223,7.130098510125578,4.31748811353631,5.25227342804663,0,0,0,0,0,0
Skoda Rapid 1.5 TDI Ambition,2014,370000,120000,Diesel,Individual,Manual,Second Owner,21.14 kmpl,1498 CC,103.52 bhp,250Nm@ 1500-2500rpm,5.0,Skoda,Rapid 1.5,Rapid 1.5 TDI Ambition,1498.0,103.52,21.14,kmpl,250.0,2000.0,Second,11,69.10547396528705,166.88918558077435,12.821260987319457,11.695255355062795,7.312553498102598,4.649378440652412,5.5254529391317835,0,0,0,0,0,0
Honda City 2017-2020 EXi,2006,158000,140000,Petrol,Individual,Manual,Third Owner,17.7 kmpl,1497 CC,78 bhp,"12.7@ 2,700(kgm@ rpm)",5.0,Honda,City 2017-2020,City 2017-2020 EXi,1497.0,78.0,17.7,kmpl,124.54445499999999,,Third+,19,52.104208416833664,83.19602872411488,11.970356641102999,11.849404844423074,7.311886164077165,4.3694478524670215,4.832659918957215,0,0,0,0,0,1
Hyundai i20 Sportz Diesel,2010,225000,127000,Diesel,Individual,Manual,First Owner,23.0 kmpl,1396 CC,90 bhp,22.4 kgm at 1750-2750rpm,5.0,Hyundai,i20 Sportz,i20 Sportz Diesel,1396.0,90.0,23.0,kmpl,219.66895999999997,2250.0,First,15,64.46991404011462,157.35598853868194,12.323860125621126,11.751950239425476,7.242082359256962,4.51085950651685,5.396663659964139,0,0,0,0,0,0
Maruti Swift VXI BSIII,2007,130000,120000,Petrol,Individual,Manual,First Owner,16.1 kmpl,1298 CC,88.2 bhp,"11.5@ 4,500(kgm@ rpm)",5.0,Maruti,Swift VXI,Swift VXI BSIII,1298.0,88.2,16.1,kmpl,112.77647499999999,,First,18,67.95069337442219,86.8848035439137,11.775297421715827,11.695255355062795,7.1693500166706,4.490881039585964,4.734235778002367,0,0,0,0,0,1
Hyundai Xcent 1.2 VTVT E Plus,2017,440000,45000,Petrol,Individual,Manual,First Owner,20.14 kmpl,1197 CC,81.86 bhp,113.75nm@ 4000rpm,5.0,Hyundai,Xcent 1.2,Xcent 1.2 VTVT E Plus,1197.0,81.86,20.14,kmpl,113.75,4000.0,First,8,68.38763575605681,95.02923976608187,12.994532278619134,10.714439990727769,7.088408778675395,4.417152436649256,4.7427558489406545,0,0,0,0,0,2
Maruti Wagon R LXI DUO BSIII,2007,96000,175000,LPG,Individual,Manual,First Owner,17.3 km/kg,1061 CC,57.5 bhp,"7.8@ 4,500(kgm@ rpm)",5.0,Maruti,Wagon R,Wagon R LXI DUO BSIII,1061.0,57.5,17.3,km/kg,76.49186999999999,,First,18,54.194156456173424,72.09412818096135,11.472113887062386,12.07254696717504,6.967909201801884,4.069026754237811,4.350173027630767,0,0,0,0,0,1
Maruti 800 DX BSII,2001,55000,5000,Petrol,Individual,Manual,Second Owner,16.1 kmpl,796 CC,37 bhp,59Nm@ 2500rpm,4.0,Maruti,800 DX,800 DX BSII,796.0,37.0,16.1,kmpl,59.0,2500.0,Second,24,46.482412060301506,74.12060301507537,10.915106645867503,8.517393171418904,6.680854678790215,3.6375861597263857,4.0943445622221,0,0,0,0,0,1
Toyota Etios VXD,2011,350000,90000,Diesel,Individual,Manual,First Owner,23.59 kmpl,1364 CC,67.1 bhp,170Nm@ 1800-2400rpm,5.0,Toyota,Etios VXD,Etios VXD,1364.0,67.1,23.59,kmpl,170.0,2100.0,First,14,49.19354838709677,124.63343108504398,12.765691290604371,11.407576060361786,7.21890970761906,4.220977213155467,5.14166355650266,0,0,0,0,0,0
Ford Figo Diesel Celebration Edition,2013,200000,169000,Diesel,Individual,Manual,First Owner,20.0 kmpl,1399 CC,68.1 bhp,160Nm@ 2000rpm,5.0,Ford,Figo Diesel,Figo Diesel Celebration Edition,1399.0,68.1,20.0,kmpl,160.0,2000.0,First,12,48.67762687634024,114.3674052894925,12.206077645517674,12.037659911047468,7.24422751560335,4.235554730773624,5.081404364984463,0,0,0,0,0,0
Renault Duster 110PS Diesel RxL,2014,500000,68000,Diesel,Individual,Manual,Second Owner,19.01 kmpl,1461 CC,108.45 bhp,248Nm@ 2250rpm,5.0,Renault,Duster 110PS,Duster 110PS Diesel RxL,1461.0,108.45,19.01,kmpl,248.0,2250.0,Second,11,74.22997946611909,169.74674880219027,13.122365377402328,11.127277689932466,7.2875606403097235,4.695467823968872,5.517452896464707,0,0,0,0,0,0
Maruti Zen LX,2005,92000,100000,Petrol,Individual,Manual,Second Owner,17.3 kmpl,993 CC,60 bhp,78Nm@ 4500rpm,5.0,Maruti,Zen LX,Zen LX,993.0,60.0,17.3,kmpl,78.0,4500.0,Second,20,60.42296072507553,78.54984894259819,11.429554725537322,11.51293546492023,6.901737206656574,4.110873864173311,4.3694478524670215,0,0,0,0,0,1
Maruti Swift Dzire VDi,2009,280000,140000,Diesel,Individual,Manual,Second Owner,19.3 kmpl,1248 CC,73.9 bhp,190Nm@ 2000rpm,5.0,Maruti,Swift Dzire,Swift Dzire VDi,1248.0,73.9,19.3,kmpl,190.0,2000.0,Second,16,59.21474358974359,152.24358974358975,12.54254845357358,11.849404844423074,7.130098510125578,4.316153890523174,5.25227342804663,0,0,0,0,0,0
Maruti Swift 1.3 VXi,2007,200000,80000,Petrol,Individual,Manual,Second Owner,,,,,,Maruti,Swift 1.3,Swift 1.3 VXi,,,,unknown,,,Second,18,,,12.206077645517674,11.289794413577894,,,,0,0,0,0,0,1
Maruti Wagon R LXI Minor,2009,180000,90000,Petrol,Individual,Manual,Second Owner,18.9 kmpl,1061 CC,67 bhp,84Nm@ 3500rpm,5.0,Maruti,Wagon R,Wagon R LXI Minor,1061.0,67.0,18.9,kmpl,84.0,3500.0,Second,16,63.14797360980208,79.17059377945336,12.100717685412471,11.407576060361786,6.967909201801884,4.219507705176107,4.442651256490317,0,0,0,0,0,1
Mahindra KUV 100 mFALCON G80 K8 5str,2016,400000,40000,Petrol,Individual,Manual,First Owner,18.15 kmpl,1198 CC,82 bhp,115Nm@ 3500-3600rpm,5.0,Mahindra,KUV 100,KUV 100 mFALCON G80 K8 5str,1198.0,82.0,18.15,kmpl,115.0,3550.0,First,9,68.44741235392321,95.99332220367279,12.899222326086994,10.596659732783579,7.089243155027514,4.418840607796598,4.7535901911063645,0,0,0,0,0,2
Maruti Ertiga SHVS VDI,2016,778000,70000,Diesel,Individual,Manual,Second Owner,24.52 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,7.0,Maruti,Ertiga SHVS,Ertiga SHVS VDI,1248.0,88.5,24.52,kmpl,200.0,1750.0,Second,9,70.91346153846153,160.25641025641025,13.564483088506746,11.156264806643742,7.130098510125578,4.4942386252808095,5.303304908059076,0,0,0,0,0,0
Hyundai i20 1.4 CRDi Asta,2012,500000,53000,Diesel,Individual,Manual,Second Owner,23.0 kmpl,1396 CC,90 bhp,22.4 kgm at 1750-2750rpm,5.0,Hyundai,i20 1.4,i20 1.4 CRDi Asta,1396.0,90.0,23.0,kmpl,219.66895999999997,2250.0,Second,13,64.46991404011462,157.35598853868194,13.122365377402328,10.87806606028079,7.242082359256962,4.51085950651685,5.396663659964139,0,0,0,0,0,0
Maruti Alto LX,2002,150000,80000,Petrol,Individual,Manual,Second Owner,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5.0,Maruti,Alto LX,Alto LX,796.0,46.3,19.7,kmpl,62.0,3000.0,Second,23,58.16582914572864,77.8894472361809,11.918397239722838,11.289794413577894,6.680854678790215,3.856510295497887,4.143134726391533,0,0,0,0,0,1
Hyundai i20 2015-2017 Asta 1.4 CRDi,2016,680000,100000,Diesel,Individual,Manual,First Owner,22.54 kmpl,1396 CC,88.73 bhp,219.7Nm@ 1500-2750rpm,5.0,Hyundai,i20 2015-2017,i20 2015-2017 Asta 1.4 CRDi,1396.0,88.73,22.54,kmpl,219.7,2125.0,First,9,63.56017191977078,157.378223495702,13.429849547739444,11.51293546492023,7.242082359256962,4.496805161309966,5.396804313262691,0,0,0,0,0,0
Mahindra Verito 1.5 D4 BSIII,2011,174000,100000,Diesel,Individual,Manual,Second Owner,21.0 kmpl,1461 CC,64.1 bhp,160Nm@ 2000rpm,5.0,Mahindra,Verito 1.5,Verito 1.5 D4 BSIII,1461.0,64.1,21.0,kmpl,160.0,2000.0,Second,14,43.874058863791916,109.51403148528405,12.066816325306588,11.51293546492023,7.2875606403097235,4.175924549214524,5.081404364984463,0,0,0,0,0,1
Honda WR-V i-DTEC VX,2017,950000,50000,Diesel,Individual,Manual,First Owner,25.5 kmpl,1498 CC,98.6 bhp,200Nm@ 1750rpm,5.0,Honda,WR-V i-DTEC,WR-V i-DTEC VX,1498.0,98.6,25.5,kmpl,200.0,1750.0,First,8,65.82109479305741,133.5113484646195,13.76421831620775,10.819798284210286,7.312553498102598,4.601162164590552,5.303304908059076,0,0,0,0,0,0
Maruti Swift Dzire ZDI,2015,525000,40000,Diesel,Individual,Manual,First Owner,26.59 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0,Maruti,Swift Dzire,Swift Dzire ZDI,1248.0,74.0,26.59,kmpl,190.0,2000.0,First,10,59.294871794871796,152.24358974358975,13.171155446333852,10.596659732783579,7.130098510125578,4.31748811353631,5.25227342804663,0,0,0,0,0,0
Maruti SX4 ZDI,2012,600000,72000,Diesel,Individual,Manual,First Owner,21.5 kmpl,1248 CC,88.8 bhp,200Nm@ 1750rpm,5.0,Maruti,SX4 ZDI,SX4 ZDI,1248.0,88.8,21.5,kmpl,200.0,1750.0,First,13,71.15384615384615,160.25641025641025,13.304686600863562,11.184435286790631,7.130098510125578,4.497584975308154,5.303304908059076,0,0,0,0,0,0
Tata Tigor 2017-2020 XZ,2018,500000,35000,Petrol,Individual,Manual,First Owner,20.3 kmpl,1199 CC,83.81 bhp,114Nm@ 3500rpm,5.0,Tata,Tigor 2017-2020,Tigor 2017-2020 XZ,1199.0,83.81,20.3,kmpl,114.0,3500.0,First,7,69.8999165971643,95.07923269391159,13.122365377402328,10.463131911491967,7.090076835776092,4.440413460373609,4.74493212836325,0,0,0,0,0,2
Maruti Baleno Delta 1.2,2016,575000,45000,Petrol,Individual,Manual,First Owner,21.4 kmpl,1197 CC,83.1 bhp,115Nm@ 4000rpm,5.0,Maruti,Baleno Delta,Baleno Delta 1.2,1197.0,83.1,21.4,kmpl,115.0,4000.0,First,9,69.4235588972431,96.0735171261487,13.26212705890841,10.714439990727769,7.088408778675395,4.432006566978902,4.7535901911063645,0,0,0,0,0,2
